x,y,community_board
980595,196264,101
983551,204992,102
987978,202030,103
985140,214611,104
989059,212863,105
991693,210497,106
990880,226040,107
996917,219363,108
996604,237234,109
998996,236755,110
1002307,230616,111
1003534,250424,112
993816,224343,164
1007203,234489,201
1015726,235328,202
1012160,242609,203
1006901,242506,204
1009330,250308,205
1015437,249518,206
1013854,257162,207
1010246,264194,208
1022277,239321,209
1032047,242305,210
1025590,251344,211
1029283,261998,212
1016363,266127,226
1018548,251369,227
1040025,254915,228
999378,201085,301
989483,192290,302
1001133,190193,303
1006656,192246,304
1017577,182484,305
985587,185872,306
983735,177260,307
998540,184615,308
999311,180921,309
978826,166473,310
985415,160275,311
988013,168288,312
988877,151670,313
995106,169833,314
998208,156081,315
1008716,183100,316
1003140,175585,317
1008498,165840,318
992408,180933,355
1014237,154911,356
1008957,221127,401
1004989,208394,402
1018639,215884,403
1020003,209095,404
1014684,197523,405
1025674,201868,406
1035477,219511,407
1040820,203448,408
1028711,193371,409
1030813,182705,410
1052017,214284,411
1044988,192022,412
1053289,193455,413
1030116,151344,414
1028482,209051,481
1025199,195535,482
1043018,173727,483
1033104,164461,484
949146,167206,501
948009,156941,502
934589,135364,503
957875,146451,595
